lat;lon;area;rent;condofee;IPTU;bedrooms
-19.976106;-43.94176;2839;7500;2300;1326;4
-19.930938;-43.93701;300;8000;1750;500;4
-19.879843;-43.99803;260;9700;0;611;4
-19.92999;-43.952285;190;7500;2188;739;4
-19.930938;-43.93701;300;8000;1680;614;5
-19.930938;-43.93701;300;8000;1678;0;3
-19.934615;-43.954537;178;7700;1977;797;4
-19.861202;-43.989684;428;9600;0;667;5
-19.9272;-43.947293;220;7500;2000;747;4
-19.929454;-43.947068;290;7000;2500;1500;4
-19.976393;-43.943269;215;6500;2942;1284;4
-19.947322;-43.932605;209;7300;2140;587;4
-19.976393;-43.943269;204;6790;2650;1000;4
-19.953066;-43.934134;167;7000;2400;822;4
-19.942382;-43.920607;702;7500;1893;1137;4
-19.937797;-43.923892;225;7500;1850;466;4
-19.910951;-43.914504;307;9350;0;198;8
-19.940858;-43.935789;284;7500;1816;520;4
-19.972758;-43.937005;3000;7500;1800;900;4
-19.93202;-43.933941;300;1880000;1800;474;4
-19.939045;-43.919928;230;6000;3300;1058;4
-19.976106;-43.94176;222;7000;2300;1300;4
-19.976106;-43.94176;222;7000;2300;1300;4
-19.937612;-43.930041;240;6700;2600;1170;4
-19.976106;-43.94176;222;6900;2324;1215;3
-19.932283;-43.942905;220;7000;2200;541;4
-19.932283;-43.942905;1200;7000;2200;610;4
-19.976902;-43.943467;205;6500;2700;1212;4
-19.976769;-43.942253;223;6900;2300;1200;4
-19.933485;-43.94521;300;6500;2700;860;4
-19.933485;-43.94521;270;6500;2700;857;4
-19.976769;-43.942253;223;6900;2300;15600;4
-19.947322;-43.932605;209;7000;2150;545;4
-19.930825;-43.928031;288;6900;2205;1358;4
-19.971668;-43.942096;2112;7000;2103;907;4
-19.931266;-43.941943;188;7000;2100;1060;4
-19.934748;-43.955115;170;7000;2100;751;4
-19.976367;-43.943979;178;7500;1600;900;4
-19.936238;-43.932276;300;7500;1500;497;4
-19.85825;-43.939339;420;9000;0;0;4
-19.856905;-43.985774;350;9000;0;602;5
-19.926517;-43.942567;274;9000;0;671;6
-19.930825;-43.928031;300;7500;1500;500;4
-19.932832;-43.931051;300;7500;1500;492;4
-19.936157;-43.91987;644;9000;0;720;5
-19.965414;-43.93818;300;9000;0;1;5
-19.833275;-43.971227;250;9000;0;495;6
-19.941211;-43.949849;234;9000;0;340;3
-19.932832;-43.931051;300;7500;1500;497;4
-19.932832;-43.931051;840;7500;1500;519;4
-19.925753;-43.952285;350;9000;0;0;7
-19.955166;-43.951559;360;9000;0;600;5
-19.93114;-43.940556;373;5000;4000;1000;4
-19.932638;-43.930937;300;7500;1500;497;4
-19.932832;-43.931051;255;7500;1500;5066;4
-19.970922;-43.949136;490;9000;0;585;4
-19.953382;-43.913662;800;8900;0;943;7
-19.956449;-43.930589;300;6500;2400;420;4
-19.930936;-43.953831;203;6400;2500;971;4
-19.955705;-43.930574;200;7400;1500;0;4
-19.932832;-43.931051;300;7500;1400;469;4
-19.934361;-43.954338;308;7000;1900;527;4
-19.947322;-43.932605;1545;6500;2390;647;4
-19.974002;-43.938633;176;6700;2136;677;4
-19.974002;-43.938633;176;6700;2136;703;4
-19.974002;-43.938633;176;6700;2136;704;4
-19.934361;-43.954338;220;7000;1800;656;4
-19.934251;-43.946195;300;6800;2000;1160;4
-19.976106;-43.94176;2000;6700;2100;1100;4
